Opcode,Mnemonic,Operand(s),Flags affected,Number of bytes,Timing 386,Timing 486,Timing Pentium
0,add,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,7,3,3
1,add,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,7,3,3
 , ,"mem32,reg32", , , , , 
2,add,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
2,add,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
3,add,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
3,add,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
4,add,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
5,add,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
6,push,ES,none,1,2,3,1
7,pop,ES,none,1,7,3,3
8,or,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,7,3,3
9,or,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,7,3,3
 , ,"mem32,reg32", , , , , 
0A,or,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
0A,or,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
0B,or,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
0B,or,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
0C,or,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
0D,or,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
0E,push,CS,none,1,2,3,1
0F 04,shld,"reg16,reg16,imm8","SF,ZF,CF,PF",4,3,2,4
 , ,"reg32,reg32,imm8","OF,AF ?", , , , 
0F 04,shld,"mem16,reg16,imm8","SF,ZF,CF,PF",4+,7,4,4
 , ,"mem32,reg32,imm8","OF,AF ?", , , , 
0F 05,shld,"reg16,reg16,CL","SF,ZF,CF,PF",3,3,3,4
 , ,"reg32,reg32,CL","OF,AF ?", , , , 
0F 05,shld,"mem16,reg16,CL","SF,ZF,CF,PF",3+,7,4,5
 , ,"mem32,reg32,CL","OF,AF ?", , , , 
0F 80,jo,rel32,none,"7+,3","3,1",1,6
0F 81,jno,rel32,none,"7+,3","3,1",1,6
0F 82,jb,rel32,none,"7+,3","3,1",1,6
 ,jnae, , , , , , 
0F 82,jc,rel32,none,"7+,3","3,1",1,6
0F 83,jae,rel32,none,"7+,3","3,1",1,6
 ,jnb, , , , , , 
0F 83,jnc,rel32,none,"7+,3","3,1",1,6
0F 84,je,rel32,none,"7+,3","3,1",1,6
 ,jz, , , , , , 
0F 85,jne,rel32,none,"7+,3","3,1",1,6
 ,jnz, , , , , , 
0F 86,jbe,rel32,none,"7+,3","3,1",1,6
 ,jna, , , , , , 
0F 87,ja,rel32,none,"7+,3","3,1",1,6
 ,jnbe, , , , , , 
0F 88,js,rel32,none,"7+,3","3,1",1,6
0F 89,jns,rel32,none,"7+,3","3,1",1,6
0F 8A,jp,rel32,none,"7+,3","3,1",1,6
 ,jpe, , , , , , 
0F 8B,jnp,rel32,none,"7+,3","3,1",1,6
 ,jpo, , , , , , 
0F 8C,jl,rel32,none,"7+,3","3,1",1,6
 ,jnge, , , , , , 
0F 8D,jge,rel32,none,"7+,3","3,1",1,6
 ,jnl, , , , , , 
0F 8E,jle,rel32,none,"7+,3","3,1",1,6
 ,jng, , , , , , 
0F 8F,jg,rel32,none,"7+,3","3,1",1,6
 ,jnle, , , , , , 
0F A0,push,FS,none,2,2,3,1
0F A1,pop,FS,none,2,7,3,3
0F A8,push,GS,none,2,2,3,1
0F A9,pop,GS,none,2,7,3,3
0F AC,shrd,"reg16,reg16,imm8","SF,ZF,CF,PF",4,3,2,4
 , ,"reg32,reg32,imm8","OF,AF ?", , , , 
0F AC,shrd,"mem16,reg16,imm8","SF,ZF,CF,PF",4+,7,4,4
 , ,"mem32,reg32,imm8","OF,AF ?", , , , 
0F AD,shrd,"reg16,reg16,CL","SF,ZF,CF,PF",3,3,3,4
 , ,"reg32,reg32,CL","OF,AF ?", , , , 
0F AD,shrd,"mem16,reg16,CL","SF,ZF,CF,PF",3+,7,4,5
 , ,"mem32,reg32,CL","OF,AF ?", , , , 
0F AF,imul,"reg16,reg16","OF,CF",3,9-22,13-26,11
 , ,"reg32,reg32","SF,ZF, PF,AF ?", ,9-38,13-42,10
0F AF,imul,"reg16,mem16","OF,CF",3+,12-25,13-26,11
 , ,"reg32,mem32","SF,ZF, PF,AF ?", ,12-41,13-42,10
0F B6,movzx,"reg16,reg8",none,3,3,3,3
 , ,"reg32,reg8", , , , , 
0F B6,movzx,"reg16,mem8",none,3+,6,3,3
 , ,"reg32,mem8", , , , , 
0F B7,movzx,"reg32,reg16",none,3,3,3,3
0F B7,movzx,"reg32,mem16",none,3+,6,3,3
0F BE,movsx,"reg16,reg8",none,3,3,3,3
 , ,"reg32,reg8", , , , , 
0F BE,movsx,"reg16,mem8",none,3+,6,3,3
 , ,"reg32,mem8", , , , , 
0F BF,movsx,"reg32,reg16",none,3,3,3,3
0F BF,movsx,"reg32,mem16",none,3+,6,3,3
10,adc,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,7,3,3
11,adc,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,7,3,3
 , ,"mem32,reg32", , , , , 
12,adc,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
12,adc,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
13,adc,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
13,adc,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
14,adc,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
15,adc,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
16,push,SS,none,1,2,3,1
17,pop,SS,none,1,7,3,3
18,sbb,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,7,3,3
19,sbb,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,7,3,3
 , ,"mem32,reg32", , , , , 
1A,sbb,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
1A,sbb,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
1B,sbb,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
1B,sbb,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
1C,sbb,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
1D,sbb,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
1E,push,DS,none,1,2,3,1
1F,pop,DS,none,1,7,3,3
20,and,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,7,3,3
21,and,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,7,3,3
 , ,"mem32,reg32", , , , , 
22,and,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
22,and,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
23,and,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
23,and,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
24,and,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
25,and,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
27,daa,none,"SF,ZF,PF,AF",1,4,2,3
 , , ,OF ?, , , , 
28,sub,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,7,3,3
29,sub,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,7,3,3
 , ,"mem32,reg32", , , , , 
2A,sub,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
2A,sub,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
2B,sub,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
2B,sub,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
2C,sub,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
2D,sub,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
2F,das,none,"SF,ZF,PF,AF",1,4,2,3
 , , ,OF ?, , , , 
30,xor,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,7,3,3
31,xor,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,7,3,3
 , ,"mem32,reg32", , , , , 
32,xor,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
32,xor,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
33,xor,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
33,xor,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
34,xor,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
35,xor,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
37,aaa,none,"AF,CF",1,4,3,3
 , , ,"SF,ZF,OF,PF ?", , , , 
38,cmp,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
38,cmp,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,5,2,2
39,cmp,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,5,2,2
 , ,"mem32,reg32", , , , , 
3A,cmp,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
3B,cmp,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
3B,cmp,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
3C,cmp,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
3D,cmp,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
3F,aas,none,"AF,CF",1,4,3,3
 , , ,"SF,ZF,OF,PF ?", , , , 
40,inc,AX,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EAX, , , , , 
41,inc,CX,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,ECX, , , , , 
42,inc,DX,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EDX, , , , , 
43,inc,BX,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EBX, , , , , 
44,inc,SP,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,ESP, , , , , 
45,inc,BP,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EBP, , , , , 
47,inc,SI,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,ESI, , , , , 
48,dec,AX,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EAX, , , , , 
48,inc,DI,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EDI, , , , , 
49,dec,CX,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,ECX, , , , , 
4A,dec,DX,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EDX, , , , , 
4B,dec,BX,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EBX, , , , , 
4C,dec,SP,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,ESP, , , , , 
4D,dec,BP,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EBP, , , , , 
4E,dec,SI,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,ESI, , , , , 
4F,dec,DI,"SF,ZF,OF,PF,AF",1,2,1,1
 , ,EDI, , , , , 
50,push,AX,none,1,2,1,1
 , ,EAX, , , , , 
51,push,CX,none,1,2,1,1
 , ,ECX, , , , , 
52,push,DX,none,1,2,1,1
 , ,EDX, , , , , 
53,push,BX,none,1,2,1,1
 , ,EBX, , , , , 
54,push,SP,none,1,2,1,1
 , ,ESP, , , , , 
55,push,BP,none,1,2,1,1
 , ,EBP, , , , , 
56,push,SI,none,1,2,1,1
 , ,ESI, , , , , 
57,push,DI,none,1,2,1,1
 , ,EDI, , , , , 
58,pop,AX,none,1,4,1,1
 , ,EAX, , , , , 
59,pop,CX,none,1,4,1,1
 , ,ECX, , , , , 
5A,pop,DX,none,1,4,1,1
 , ,EDX, , , , , 
5B,pop,BX,none,1,4,1,1
 , ,EBX, , , , , 
5C,pop,SP,none,1,4,1,1
 , ,ESP, , , , , 
5D,pop,BP,none,1,4,1,1
 , ,EBP, , , , , 
5E,pop,SI,none,1,4,1,1
 , ,ESI, , , , , 
5F,pop,DI,none,1,4,1,1
 , ,EDI, , , , , 
60,pusha,none,none,1,18,11,5
 ,pushad, , , , , , 
61,popa,none,none,1,24,9,5
 ,popad, , , , , , 
68,push,imm16,none,3,2,1,1
 , ,imm32, ,5, , , 
69,imul,"reg16,reg16,imm16","OF,CF",4,9-22,13-26,10
 , ,"reg32,reg32,imm32","SF,ZF, PF,AF ?",6,9-38,13-42,10
69,imul,"reg16,mem16,imm16","OF,CF",4+,12-25,13-26,10
 , ,"reg32,mem32,imm32","SF,ZF, PF,AF ?",6+,12-41,13-42,10
6A,push,imm8,none,2,2,1,1
6B,imul,"reg16,imm8","OF,CF",3,9-14,13-18,10
 , ,"reg32,imm8","SF,ZF, PF,AF ?", , , , 
6B,imul,"reg16,reg16,imm8","OF,CF",3,9-14,13-18,10
 , ,"reg32,reg32,imm8","SF,ZF, PF,AF ?", , , , 
6B,imul,"reg16,mem16,imm8","OF,CF",3+,9-17,13-18,10
 , ,"reg32,mem32,imm8","SF,ZF, PF,AF ?", , , , 
70,jo,rel8,none,"7+,3","3,1",1,2
71,jno,rel8,none,"7+,3","3,1",1,2
72,jb,rel8,none,"7+,3","3,1",1,2
 ,jnae, , , , , , 
72,jc,rel8,none,"7+,3","3,1",1,2
73,jae,rel8,none,"7+,3","3,1",1,2
 ,jnb, , , , , , 
73,jnc,rel8,none,"7+,3","3,1",1,2
74,je,rel8,none,"7+,3","3,1",1,2
 ,jz, , , , , , 
75,jne,rel8,none,"7+,3","3,1",1,2
 ,jnz, , , , , , 
76,jbe,rel8,none,"7+,3","3,1",1,2
 ,jna, , , , , , 
77,ja,rel8,none,"7+,3","3,1",1,2
 ,jnbe, , , , , , 
78,js,rel8,none,"7+,3","3,1",1,2
79,jns,rel8,none,"7+,3","3,1",1,2
7A,jp,rel8,none,"7+,3","3,1",1,2
 ,jpe, , , , , , 
7B,jnp,rel8,none,"7+,3","3,1",1,2
 ,jpo, , , , , , 
7C,jl,rel8,none,"7+,3","3,1",1,2
 ,jnge, , , , , , 
7D,jge,rel8,none,"7+,3","3,1",1,2
 ,jnl, , , , , , 
7E,jle,rel8,none,"7+,3","3,1",1,2
 ,jng, , , , , , 
7F,jg,rel8,none,"7+,3","3,1",1,2
 ,jnle, , , , , , 
80,adc,"reg8,imm8","SF,ZF,OF,CF,PF,AF",3,2,1,1
80,adc,"mem8,imm8","SF,ZF,OF,CF,PF,AF",3+,7,3,3
80,add,"reg8,imm8","SF,ZF,OF,CF,PF,AF",3,2,1,1
80,add,"mem8,imm8","SF,ZF,OF,CF,PF,AF",3+,7,3,3
80,and,"reg8,imm8","SF,ZF,OF,CF,PF,AF",3,2,1,1
80,and,"mem8,imm8","SF,ZF,OF,CF,PF,AF",3+,7,3,3
80,cmp,"reg8,imm8","SF,ZF,OF,CF,PF,AF",3,2,1,1
80,cmp,"mem8,imm8","SF,ZF,OF,CF,PF,AF",3+,5,2,2
80,or,"reg8,imm8","SF,ZF,OF,CF,PF,AF",3,2,1,1
80,or,"mem8,imm8","SF,ZF,OF,CF,PF,AF",3+,7,3,3
80,sbb,"reg8,imm8","SF,ZF,OF,CF,PF,AF",3,2,1,1
80,sbb,"mem8,imm8","SF,ZF,OF,CF,PF,AF",3+,7,3,3
80,sub,"reg8,imm8","SF,ZF,OF,CF,PF,AF",3,2,1,1
80,sub,"mem8,imm8","SF,ZF,OF,CF,PF,AF",3+,7,3,3
80,xor,"reg8,imm8","SF,ZF,OF,CF,PF,AF",3,2,1,1
80,xor,"mem8,imm8","SF,ZF,OF,CF,PF,AF",3+,7,3,3
81,adc,"reg16,imm16","SF,ZF,OF,CF,PF,AF",4,2,1,1
 , ,"reg32,imm32", ,6, , , 
81,adc,"mem16,imm16","SF,ZF,OF,CF,PF,AF",4+,7,3,3
 , ,"mem32,imm32", ,6+, , , 
81,add,"reg16,imm16","SF,ZF,OF,CF,PF,AF",4,2,1,1
 , ,"reg32,imm32", ,6, , , 
81,add,"mem16,imm16","SF,ZF,OF,CF,PF,AF",4+,7,3,3
 , ,"mem32,imm32", ,6+, , , 
